"country","taxid","country_date","count"
"AT","485","2019-06-06",1
"AT","485","2019-06-07",10
"AT","485","2019-06-11",1
"AT","485","2019-06-12",2
"AT","485","2019-06-13",1
"AT","485","2019-06-15",2
"AT","485","2019-06-17",1
"AT","485","2019-06-19",1
"AT","485","2019-06-21",5
"AT","485","2019-06-24",2
"AT","485","2019-06-25",5
"AT","485","2019-06-26",6
"AT","485","2019-06-28",3
"AT","485","2019-06-29",2
"AT","485","2019-07-01",2
"AT","485","2019-07-04",4
"AT","485","2019-07-08",1
"AT","485","2019-07-09",2
"AT","485","2019-07-10",1
"AT","485","2019-07-11",4
"AT","485","2019-07-12",8
"AT","485","2019-07-15",3
"AT","485","2019-07-16",2
"AT","485","2019-07-18",3
"AT","485","2019-07-19",4
"AT","485","2019-07-20",5
"AT","485","2019-07-22",3
"AT","485","2019-07-23",2
"AT","485","2019-07-24",3
"AT","485","2019-07-25",5
"AT","485","2019-07-26",4
"AT","485","2019-07-29",1
"AT","485","2019-07-30",3
"AT","485","2019-07-31",3
"AT","485","2019-08-02",5
"AT","485","2019-08-05",2
"AT","485","2019-08-09",2
"AT","485","2019-08-12",2
"AT","485","2019-08-14",1
"AT","485","2019-08-16",2
"AT","485","2019-08-19",3
"AT","485","2019-08-20",1
"AT","485","2019-08-21",1
"AT","485","2019-08-22",3
"AT","485","2019-08-23",4
"AT","485","2019-08-27",3
"AT","485","2019-08-28",1
"AT","485","2019-08-29",6
"AT","485","2019-08-30",5
"AT","485","2019-09-02",1
"AT","485","2019-09-03",9
"AT","485","2019-09-05",1
"AT","485","2019-09-06",5
"AT","485","2019-09-07",3
"AT","485","2019-09-09",3
"AT","485","2019-09-10",2
"AT","485","2019-09-11",2
"AT","485","2019-09-12",2
"AT","485","2019-09-13",5
"AT","485","2019-09-14",1
"AT","485","2019-09-19",4
"AT","485","2019-09-20",3
"AT","485","2019-09-24",5
"AT","485","2019-09-25",6
"AT","485","2019-09-26",4
"AT","485","2019-09-27",2
"AT","485","2019-09-30",6
"AT","485","2019-10-04",1
"AT","485","2019-10-05",1
"AT","485","2019-10-07",1
"AT","485","2019-10-08",3
"AT","485","2019-10-09",1
"AT","485","2019-10-14",1
"AT","485","2019-10-15",1
"AT","485","2019-10-18",2
"AT","485","2019-10-19",1
"AT","485","2019-10-21",2
"AT","485","2019-10-22",2
"AT","485","2019-10-24",4
"AT","485","2019-10-28",1
"AT","485","2019-10-29",1
"AT","485","2019-10-30",1
"AT","485","2019-11-04",1
"AT","485","2019-11-07",3
"AT","485","2019-11-08",1
"AT","485","2019-11-14",2
"AT","485","2019-11-18",1
"AT","485","2019-11-25",2
"AT","485","2019-11-27",1
"AT","485","2019-11-28",1
"AT","485","2019-11-29",3
"AT","485","2019-12-02",2
"AT","485","2019-12-03",5
"AT","485","2019-12-04",1
"AT","485","2019-12-05",1
"AT","485","2019-12-09",2
"AT","485","2019-12-10",1
"AT","485","2019-12-11",5
"AT","485","2019-12-13",1
"AT","485","2019-12-16",4
"AT","485","2019-12-17",2
"AT","485","2019-12-18",1
"AT","485","2019-12-19",3
"AT","485","2019-12-20",1
"AT","485","2019-12-21",1
"AT","485","2019-12-23",1
"AT","485","2019-12-27",2
"AT","485","2019-12-28",2
"AT","485","2019-12-30",2
"AT","485","2020",36
"AT","485","2020-01-07",1
"AT","485","2020-01-13",1
"AT","485","2020-01-15",1
"AT","485","2020-01-16",1
"AT","485","2020-01-21",1
"AT","485","2020-01-23",1
"AT","485","2020-01-24",1
"AT","485","2020-01-28",3
"AT","485","2020-01-30",1
"AT","485","2020-01-31",1
"AT","485","2020-02-04",3
"AT","485","2020-02-05",1
"AT","485","2020-02-06",1
"AT","485","2020-02-07",3
"AT","485","2020-02-10",1
"AT","485","2020-02-11",3
"AT","485","2020-02-12",2
"AT","485","2020-02-21",2
"AT","485","2020-02-26",1
"AT","485","2020-02-27",2
"AT","485","2020-03-06",1
"AT","485","2020-03-18",1
"AT","485","2020-04-02",1
"AT","485","2020-06-03",1
"AT","485","2020-06-04",1
"AT","485","2020-06-10",1
"AT","485","2020-06-12",1
"AT","485","2020-06-16",1
"AT","485","2020-06-19",1
"AT","485","2020-06-22",1
"AT","485","2020-06-24",2
"AT","485","2020-06-26",1
"AT","485","2020-06-29",1
"AT","485","2020-07-01",1
"AT","485","2020-07-03",1
"AT","485","2020-07-07",1
"AT","485","2020-07-09",1
"AT","485","2020-07-10",1
